,country,count,points
0,Italy,19540.0,87.6
1,Portugal,5691.0,87.6
2,US,54504.0,87.6
5,Spain,6645.0,87.6
7,France,22093.0,87.6
8,Germany,2165.0,87.6
16,Argentina,3800.0,87.6
36,Chile,4472.0,87.6
77,Australia,2329.0,87.6
93,Austria,3345.0,87.6
125,South Africa,1401.0,87.6
174,New Zealand,1419.0,87.6
202,Israel,505.0,87.6
219,Hungary,146.0,87.6
271,Greece,466.0,87.6
306,Romania,120.0,87.6
378,Mexico,70.0,87.6
454,Canada,257.0,87.6
913,,,87.6
1187,Turkey,90.0,87.6
2272,Czech Republic,12.0,87.6
2292,Slovenia,87.0,87.6
3576,Luxembourg,6.0,87.6
4007,Croatia,73.0,87.6
4048,Georgia,86.0,87.6
4051,Uruguay,109.0,87.6
4073,England,74.0,87.6
4896,Lebanon,35.0,87.6
5085,Serbia,12.0,87.6
5852,Brazil,52.0,87.6
5996,Moldova,59.0,87.6
6008,Morocco,28.0,87.6
6565,Peru,16.0,87.6
6673,India,9.0,87.6
6970,Bulgaria,141.0,87.6
7568,Cyprus,11.0,87.6
8170,Armenia,2.0,87.6
14187,Switzerland,7.0,87.6
16467,Bosnia and Herzegovina,2.0,87.6
19530,Ukraine,14.0,87.6
22687,Slovakia,1.0,87.6
25466,Macedonia,12.0,87.6
109989,China,1.0,87.6
110246,Egypt,1.0,87.6
